Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\ClippyAI.csproj,,,,,,,,Aktuelles Zielframework: net9.0-windows10.0.17763.0 Empfohlenes Zielframework: net10.0-windows
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,353,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await response.Content.ReadAsStringAsync(token);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,341,12,T:System.Net.Http.HttpContent,,,,,"var request = new HttpRequestMessage(HttpMethod.Delete, $""{url}/delete"")              {                  Content = new StringContent(JsonSerializer.Serialize(requestBody), Encoding.UTF8, ""application/json"")              };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,316,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await response.Content.ReadAsStringAsync(token);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,276,16,T:System.Net.Http.HttpContent,,,,,using var streamContent = await response.Content.ReadAsStreamAsync(token);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,276,16,M:System.Net.Http.HttpContent.ReadAsStreamAsync(System.Threading.CancellationToken),,,,,using var streamContent = await response.Content.ReadAsStreamAsync(token);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,224,12,T:System.Net.Http.HttpContent,,,,,var responseContent = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,171,12,T:System.Net.Http.HttpContent,,,,,using var stream = await response.Content.ReadAsStreamAsync(token);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,171,12,M:System.Net.Http.HttpContent.ReadAsStreamAsync(System.Threading.CancellationToken),,,,,using var stream = await response.Content.ReadAsStreamAsync(token);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,123,12,T:System.Net.Http.HttpContent,,,,,using var responseStream = await response.Content.ReadAsStreamAsync(token);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClippyAI\ClippyAI.csproj,File,ClippyAI\Services\OllamaService.cs,123,12,M:System.Net.Http.HttpContent.ReadAsStreamAsync(System.Threading.CancellationToken),,,,,using var responseStream = await response.Content.ReadAsStreamAsync(token);
